,p,td,ts,o,tu,datetime,lx,ly
1032,13.71422482,138.8139801,,155.7750854,1.704653978,2023-12-16 13:55:03,0.0,0.0
1033,13.65835953,137.027359,,155.4833679,1.715130806,2023-12-16 13:55:10,0.0,0.0
1034,9.844028473,141.8740692,,154.7950897,1.713009953,2023-12-16 13:55:17,0.0,0.0
1035,10.96225548,142.4343109,,155.8056946,1.713784218,2023-12-16 13:55:24,0.0,0.0
1036,11.24321175,143.8368378,,157.3239441,1.71323657,2023-12-16 13:55:31,0.0,0.0
1037,11.31808376,146.7998047,,159.0435944,1.711930752,2023-12-16 13:55:38,0.0,0.0
1038,11.34075165,146.5235901,,158.5407715,1.714905143,2023-12-16 13:55:45,0.0,0.0
1039,6.226494789,151.1008301,,75.58540344,1.711165428,2023-12-16 13:55:52,0.0,0.0
1040,6.017778873,155.7425385,,82.4303894,1.70473361,2023-12-16 13:55:59,0.0,0.0
1041,5.916614056,160.6013184,,86.8013916,1.710641384,2023-12-16 13:56:06,0.0,0.0
1042,6.014152527,164.5975189,,84.54334259,1.712937593,2023-12-16 13:56:13,0.0,0.0
1043,6.254803658,165.4493408,,80.51567078,1.710351467,2023-12-16 13:56:20,0.0,0.0
1044,4.932033539,196.7780457,,91.0337677,1.709763288,2023-12-16 13:56:27,0.0,0.0
1045,5.638563156,157.9492493,,83.12182617,1.706224918,2023-12-16 13:56:34,0.0,0.0
1046,5.959657192,156.4063721,,77.48241425,1.712881446,2023-12-16 13:56:41,0.0,0.0
1047,5.354529858,167.6182861,,86.66602325,1.709682822,2023-12-16 13:56:48,0.0,0.0
1048,6.15435791,177.3551788,,75.24373627,1.713558555,2023-12-16 13:56:55,0.0,0.0
1049,6.35671854,173.4285583,,71.71890259,1.714049935,2023-12-16 13:57:02,0.0,0.0
1050,6.383999825,172.6495209,,71.50292969,1.713631153,2023-12-16 13:57:09,0.0,0.0
1051,6.778530121,171.344635,,63.63288498,1.703340054,2023-12-16 13:57:16,0.0,0.0
1052,6.653368473,170.6360168,,67.06747437,1.7137115,2023-12-16 13:57:24,0.0,0.0
1053,6.606701374,170.2044983,,67.30924225,1.706580162,2023-12-16 13:57:31,0.0,0.0
1054,6.691485882,170.6360321,,66.69033051,1.713823676,2023-12-16 13:57:38,0.0,0.0
1055,6.542529583,171.3274384,,67.76535797,1.714002132,2023-12-16 13:57:45,0.0,0.0
1056,6.591076851,173.1090393,,67.9249115,1.714831829,2023-12-16 13:57:52,0.0,0.0
1057,6.382154465,175.7918396,,72.15407562,1.714082479,2023-12-16 13:57:59,0.0,0.0
1058,6.436787128,178.4933014,,71.86717987,1.714590311,2023-12-16 13:58:06,0.0,0.0
1059,6.36659956,180.8668365,,71.21443939,1.714759469,2023-12-16 13:58:13,0.0,0.0
1060,6.244923592,182.1674805,,75.86264801,1.714090466,2023-12-16 13:58:20,0.0,0.0
1061,6.21723032,182.4740753,,75.98674774,1.706016064,2023-12-16 13:58:27,0.0,0.0
1062,6.249266148,182.488266,,75.45005035,1.713526249,2023-12-16 13:58:34,0.0,0.0
1063,6.230360031,182.0822754,,74.74569702,1.71434021,2023-12-16 13:58:41,0.0,0.0
1064,6.065229416,179.8865356,,78.21573639,1.713896513,2023-12-16 13:58:48,0.0,0.0
1065,6.095964909,178.8857574,,78.69442749,1.712132096,2023-12-16 13:58:55,0.0,0.0
1066,6.083725452,177.7706757,,79.37296295,1.712631345,2023-12-16 13:59:02,0.0,0.0
1067,6.153673172,176.8627167,,77.71773529,1.711874127,2023-12-16 13:59:09,0.0,0.0
1068,6.094392776,175.1450195,,78.42527008,1.711446881,2023-12-16 13:59:16,0.0,0.0
1069,6.074015617,173.9220276,,78.83785248,1.705653191,2023-12-16 13:59:23,0.0,0.0
1070,5.971758842,173.5626373,,80.93149567,1.71309042,2023-12-16 13:59:30,0.0,0.0
1071,5.935452938,173.0062866,,82.09999847,1.713905215,2023-12-16 13:59:37,0.0,0.0
1072,5.967487812,172.5010529,,82.05806732,1.710109711,2023-12-16 13:59:44,0.0,0.0
1073,5.887111187,171.2103577,,83.19432831,1.706853986,2023-12-16 13:59:51,0.0,0.0
1074,5.924784184,171.4045563,,82.69313049,1.70824039,2023-12-16 13:59:58,0.0,0.0
1075,5.865231514,170.2216034,,83.35067749,1.709787607,2023-12-16 14:00:05,0.0,0.0
1076,5.823486805,169.8099518,,84.5127182,1.712542772,2023-12-16 14:00:12,0.0,0.0
1077,5.833333492,168.9004669,,85.14775848,1.713348508,2023-12-16 14:00:20,0.0,0.0
1078,5.797811508,169.2723236,,85.63448334,1.71195364,2023-12-16 14:00:27,0.0,0.0
1079,5.913060188,169.3295441,,83.71492767,1.713243723,2023-12-16 14:00:34,0.0,0.0
1080,5.756033897,168.6286621,,87.18173981,1.712929845,2023-12-16 14:00:41,0.0,0.0
1081,5.959965229,169.3352051,,83.55213928,1.712108135,2023-12-16 14:00:48,0.0,0.0
1082,5.829469204,169.0806885,,86.24853516,1.712534666,2023-12-16 14:00:55,0.0,0.0
1083,6.007383347,169.458252,,81.71479034,1.712164402,2023-12-16 14:01:02,0.0,0.0
1084,6.130904198,170.0186768,,80.1191864,1.711954355,2023-12-16 14:01:09,0.0,0.0
1085,5.944750786,169.3724365,,83.70848846,1.712615013,2023-12-16 14:01:16,0.0,0.0
1086,6.127863884,169.9728851,,80.6881485,1.711987138,2023-12-16 14:01:23,0.0,0.0
1087,5.983112335,169.9871521,,83.27331543,1.711954594,2023-12-16 14:01:30,0.0,0.0
1088,5.981264114,170.4103241,,82.94773865,1.711616516,2023-12-16 14:01:37,0.0,0.0
1089,6.076922894,170.7789001,,81.57457733,1.712212563,2023-12-16 14:01:44,0.0,0.0
1090,6.118938923,171.4188995,,81.58424377,1.712043762,2023-12-16 14:01:51,0.0,0.0
1091,6.043177605,171.7415771,,82.45133209,1.711584568,2023-12-16 14:01:58,0.0,0.0
1092,6.038803577,172.3526154,,82.29177856,1.710802436,2023-12-16 14:02:05,0.0,0.0
1093,6.023076534,172.2470398,,82.24503326,1.710584998,2023-12-16 14:02:12,0.0,0.0
1094,6.099760056,172.7208405,,81.29090118,1.71163249,2023-12-16 14:02:19,0.0,0.0
1095,5.962324619,172.0014648,,84.82377625,1.711471558,2023-12-16 14:02:26,0.0,0.0
1096,6.024375439,172.6380615,,83.30718231,1.71212399,2023-12-16 14:02:33,0.0,0.0
1097,6.034185886,172.3126984,,83.00899506,1.710029125,2023-12-16 14:02:40,0.0,0.0
1098,5.965126038,172.2926941,,85.02687836,1.711076379,2023-12-16 14:02:47,0.0,0.0
1099,6.223384857,172.8094177,,81.98555756,1.711084723,2023-12-16 14:02:54,0.0,0.0
1100,6.052921772,173.3344116,,83.16532898,1.711463571,2023-12-16 14:03:01,0.0,0.0
1101,6.104990482,173.725235,,81.95492554,1.71118927,2023-12-16 14:03:09,0.0,0.0
1102,6.100682735,174.0018616,,83.20241547,1.711721182,2023-12-16 14:03:16,0.0,0.0
1103,6.071451664,174.2841797,,82.99773407,1.710658073,2023-12-16 14:03:23,0.0,0.0
1104,6.054564476,174.771698,,83.96149445,1.710786343,2023-12-16 14:03:30,0.0,0.0
1105,6.040716171,175.088028,,83.60533142,1.710270405,2023-12-16 14:03:37,0.0,0.0
1106,6.071416855,175.2077484,,84.02437592,1.708070397,2023-12-16 14:03:44,0.0,0.0
1107,6.105298519,175.2875519,,82.0419693,1.709561825,2023-12-16 14:03:51,0.0,0.0
1108,5.954737186,174.2300262,,85.22672272,1.709891915,2023-12-16 14:03:58,0.0,0.0
1109,5.890599251,173.6339569,,86.4806366,1.710126042,2023-12-16 14:04:05,0.0,0.0
