,p,td,ts,o,tu,datetime,lx,ly
1619,12.33127403,297.6560974,,1208.912109,2667.0,2023-12-25 18:07:05,0.0,0.0
1620,12.40224075,299.8393555,,1209.39563,2667.0,2023-12-25 18:07:12,0.0,0.0
1621,12.27789402,299.5804749,,1207.477661,2667.0,2023-12-25 18:07:19,0.0,0.0
1622,12.48450947,300.6074219,,1189.627808,2667.0,2023-12-25 18:07:26,0.0,0.0
1623,12.53857517,307.5162354,,1188.274048,2667.0,2023-12-25 18:07:33,0.0,0.0
1624,12.53044415,312.9718323,,1186.122314,2667.0,2023-12-25 18:07:40,0.0,0.0
1625,12.57003498,321.4437561,,1174.21167,2667.0,2023-12-25 18:07:47,0.0,0.0
1626,12.68197823,329.8701172,,1177.958984,2667.0,2023-12-25 18:07:54,0.0,0.0
1627,12.71252441,340.2521973,,1167.273193,2667.0,2023-12-25 18:08:01,0.0,0.0
1628,12.80765724,352.0067139,,1163.969238,2667.0,2023-12-25 18:08:08,0.0,0.0
1629,12.93438721,365.7035828,,1156.643921,2667.0,2023-12-25 18:08:15,0.0,0.0
1630,12.99088669,379.5779419,,1145.619751,2667.0,2023-12-25 18:08:22,0.0,0.0
1631,13.15606594,390.3233948,,1142.775024,2667.0,2023-12-25 18:08:29,0.0,0.0
1632,13.15872765,398.9029236,,1142.291504,2667.0,2023-12-25 18:08:36,0.0,0.0
1633,13.12124825,407.0331726,,1123.829346,2667.0,2023-12-25 18:08:43,0.0,0.0
1634,13.12354183,415.8836365,,1138.439575,2667.0,2023-12-25 18:08:50,0.0,0.0
1635,13.10300922,424.2518005,,1147.964722,2667.0,2023-12-25 18:08:57,0.0,0.0
1636,13.04504299,444.8223877,,1140.937622,2667.0,2023-12-25 18:09:04,0.0,0.0
1637,12.94293213,446.3947449,,1147.53772,1334.0,2023-12-25 18:09:11,0.0,0.0
1638,13.54641438,326.8428955,,1109.219116,2667.0,2023-12-25 18:09:18,0.0,0.0
1639,13.26603317,324.1838989,,1131.855713,2667.0,2023-12-25 18:09:25,0.0,0.0
1640,12.61252689,415.6104736,,1240.558228,2667.0,2023-12-25 18:09:32,0.0,0.0
1641,10.9211874,376.2801819,,1255.998535,2667.0,2023-12-25 18:09:39,0.0,0.0
1642,10.46295166,401.5031433,,1270.060791,2667.0,2023-12-25 18:09:47,0.0,0.0
1643,10.29487896,464.7891541,,1270.874756,2667.0,2023-12-25 18:09:54,0.0,0.0
1644,9.847297668,540.5792236,,1280.64978,2667.0,2023-12-25 18:10:01,0.0,0.0
1645,10.02230644,821.7052002,,1275.967773,2667.0,2023-12-25 18:10:08,0.0,0.0
1646,10.1116457,818.3776245,,1276.918701,2667.0,2023-12-25 18:10:15,0.0,0.0
1647,10.15133381,748.0132446,,1275.44397,2667.0,2023-12-25 18:10:22,0.0,0.0
1648,10.09593678,739.1868896,,1270.375122,2667.0,2023-12-25 18:10:29,0.0,0.0
1649,10.10857105,717.659668,,1266.555298,2667.0,2023-12-25 18:10:36,0.0,0.0
