Unnamed: 0,p,td,ts,o,tu,datetime,lx,ly
1619,12.33127403,297.6560974,,1208.912109,2541.227594,12/25/2023 18:07,0,0
1620,12.40224075,299.8393555,,1209.39563,2505.182745,12/25/2023 18:07,0,0
1621,12.27789402,299.5804749,,1207.477661,2505.434385,12/25/2023 18:07,0,0
1622,12.48450947,300.6074219,,1189.627808,2525.863058,12/25/2023 18:07,0,0
1623,12.53857517,307.5162354,,1188.274048,2538.13409,12/25/2023 18:07,0,0
1624,12.53044415,312.9718323,,1186.122314,2545.900174,12/25/2023 18:07,0,0
1625,12.57003498,321.4437561,,1174.21167,2547.511272,12/25/2023 18:07,0,0
1626,12.68197823,329.8701172,,1177.958984,2507.067483,12/25/2023 18:07,0,0
1627,12.71252441,340.2521973,,1167.273193,2534.570275,12/25/2023 18:08,0,0
1628,12.80765724,352.0067139,,1163.969238,2503.292564,12/25/2023 18:08,0,0
1629,12.93438721,365.7035828,,1156.643921,2533.66951,12/25/2023 18:08,0,0
1630,12.99088669,379.5779419,,1145.619751,2538.590182,12/25/2023 18:08,0,0
1631,13.15606594,390.3233948,,1142.775024,2513.872143,12/25/2023 18:08,0,0
1632,13.15872765,398.9029236,,1142.291504,2529.746575,12/25/2023 18:08,0,0
1633,13.12124825,407.0331726,,1123.829346,2541.406251,12/25/2023 18:08,0,0
1634,13.12354183,415.8836365,,1138.439575,2539.868227,12/25/2023 18:08,0,0
1635,13.10300922,424.2518005,,1147.964722,2516.940803,12/25/2023 18:08,0,0
1636,13.04504299,444.8223877,,1140.937622,2511.095897,12/25/2023 18:09,0,0
1637,12.94293213,446.3947449,,1147.53772,2530.832266,12/25/2023 18:09,0,0
1638,13.54641438,326.8428955,,1109.219116,2504.312419,12/25/2023 18:09,0,0
1639,13.26603317,324.1838989,,1131.855713,2537.688886,12/25/2023 18:09,0,0
1640,12.61252689,415.6104736,,1240.558228,2528.954058,12/25/2023 18:09,0,0
1641,10.9211874,376.2801819,,1255.998535,2502.012988,12/25/2023 18:09,0,0
1642,10.46295166,401.5031433,,1270.060791,2546.996407,12/25/2023 18:09,0,0
1643,10.29487896,464.7891541,,1270.874756,2518.163793,12/25/2023 18:09,0,0
1644,9.847297668,540.5792236,,1280.64978,2513.234327,12/25/2023 18:10,0,0
1645,10.02230644,821.7052002,,1275.967773,2531.874937,12/25/2023 18:10,0,0
1646,10.1116457,818.3776245,,1276.918701,2501.130593,12/25/2023 18:10,0,0
1647,10.15133381,748.0132446,,1275.44397,2528.414759,12/25/2023 18:10,0,0
1648,10.09593678,739.1868896,,1270.375122,2526.133005,12/25/2023 18:10,0,0
1649,10.10857105,717.659668,,1266.555298,2500.240584,12/25/2023 18:10,0,0
1650,10.10898304,679.4570923,,1269.416138,2500.056728,12/25/2023 18:10,0,0
1651,10.16603279,648.9486084,,1258.295288,2546.696928,12/25/2023 18:10,0,0
1652,10.19859982,564.8988647,,1266.402222,2517.960572,12/25/2023 18:10,0,0
1653,10.20792484,543.4860229,,1263.670288,2534.868233,12/25/2023 18:11,0,0
1654,10.15813446,541.8855591,,1263.493042,2531.114352,12/25/2023 18:11,0,0
1655,10.17209721,540.4319458,,1256.901123,2522.531914,12/25/2023 18:11,0,0
1656,13.43309402,550.8778,,1246.634399,2534.416174,12/25/2023 18:11,0,0
1657,14.08990574,557.765,,1283.107666,2542.712134,12/25/2023 18:11,0,0
1658,13.92968845,566.754,,1298.080566,2521.209732,12/25/2023 18:11,0,0
1659,13.40075493,560.765,,1298.636597,2537.239518,12/25/2023 18:11,0,0
1660,13.3845892,570.455,,1313.150146,2520.608201,12/25/2023 18:11,0,0
